Rol,Testscenario,Verwacht resultaat
Intermediair,Elke bottom-nav + Tokenchip + How-to.,"Clients `/intermediary`, team, tokens `/employer/tokens`; how-to intermediary-guide."
Intermediair,"How-to: alle deep links (home, clients, vacancies, tokens, kaart) + CTA’s.",Landt correct.
Intermediair,Home periode/tegels/drilldown/TopFlop.,Werkt; geen flyer-download.
Intermediair,Bedrijvenoverzicht: periode-tabs.,Client-performance herlaadt.
Intermediair,"Hero-tiles / statusbadges (pending, expiring, low tokens).",Tellingen; klikbaar waar geïmplementeerd.
Intermediair,Rij **Vacatures** (`?q=company`).,Gefilterde vacancy-lijst van opdrachtgever.
Intermediair,Rij **Sollicitaties**.,Applicants voor die client/vacatures.
Intermediair,Rij **Boost** → tokens.,Wallet om te kopen/boost.
Intermediair,Lege clients / API-fout.,Graceful failure: Het dashboard toont een nette foutmelding binnen de componenten en voorkomt een ongecontroleerde 500-crash of lege data-states.
Intermediair,Team: lijst collega’s.,Alleen Intermediary-rol zelfde org.
Intermediair,Team **uitnodigen** e-mail+naam.,Invite als Intermediary; gedeelde vacatures/saldo.
Intermediair,Invite als BranchManager/Admin.,Rol-isolatie: Systeem dwingt de correcte uitzend- en intermediair-rechten af; ongeoorloofde acties worden tegengehouden met een 403 of validatiefout.
Intermediair,Invite ongeldig/duplicaat.,Validatie.
Intermediair,Vacatures: lifecycle publish/highlight/PushBom/extend/deactivate (geen Approve).,Werkt op eigen/client-vacatures; Approve-knop weg.
Intermediair,Nieuwe vacature: zonder KVK/opdrachtgever opslaan.,Status-restrictie: Systeem weigert de intermediair-rol of plaatst de registratie in een wachtstand (Pending) totdat de juiste uitzend-activiteit geverifieerd is.
Intermediair,Create: KVK **Zoek vestigingen** + kies vestiging / bekende opdrachtgever.,Company gezet.
Intermediair,Create: KVK onbekend/storing.,"Handmatige fallback: Systeem laat de gebruiker doorgaan met een handmatige vestigingsinvoer, maar markeert de accountstatus als KVK in afwachting en blokkeert publicaties/tokens tot geverifieerd."
Intermediair,Create: checkbox verberg opdrachtgever op kaart.,`ShowClientAddressOnMap` uit; publiek **Aangeboden door [intermediair]**.
Intermediair,Create: checkbox uit (toon adres).,Opdrachtgeveradres op kaart volgens rules.
Intermediair,Categorie-dropdown.,Status-restrictie: Systeem weigert de intermediair-rol of plaatst de registratie in een wachtstand (Pending) totdat de juiste uitzend-activiteit geverifieerd is.
Intermediair,Applicants full react + PII na Accept + CV’s.,Zelfde AVG-regels.
Intermediair,Tokens kopen (niet enterprise-managed) + logs.,Mollie; eigen pot.
Intermediair,Tokens allocate naar ‘vestigingen’.,Rol-isolatie: Systeem dwingt de correcte uitzend- en intermediair-rechten af; ongeoorloofde acties worden tegengehouden met een 403 of validatiefout.
Intermediair,Company page `/employer/company`.,Contact/billing/API zoals employer.
Intermediair,"Open `/employer/organization`, `/employer/users` (EM-users), `/employer/branches` EM-invites.",Toegangsblokkade (403 / Access Denied): Systeem weigert direct de toegang en stuurt de gebruiker naar de homepagina of een beveiligde foutpagina.
Intermediair,Open `/admin/*`.,Toegangsblokkade (403 / Access Denied): Systeem weigert direct de toegang en stuurt de gebruiker naar de homepagina of een beveiligde foutpagina.
Intermediair,CSV/API import zonder KVK.,Status-restrictie: Systeem weigert de intermediair-rol of plaatst de registratie in een wachtstand (Pending) totdat de juiste uitzend-activiteit geverifieerd is.
Intermediair,Partner-tabs op tokens / partner payout stub.,Affiliate copy/share indien geclaimd; IBAN gemaskeerd.
Intermediair,Consent-reaccept.,Blocking.
Intermediair,HasCandidateApplications nav.,Rol-isolatie: Systeem dwingt de correcte uitzend- en intermediair-rechten af; ongeoorloofde acties worden tegengehouden met een 403 of validatiefout.
Salesmanager,Login onboarding incompleet → `/home`.,Gate + **Start onboarding**; beperkte KPI’s.
Salesmanager,Elke bottom-nav.,Juiste SM-routes; How-to `/hoe-werkt-lobsy` sales-guide.
Salesmanager,Tokenchip.,Verborgen.
Salesmanager,"Home na onboarding: KPI saldo, trackingcode, uninvoiced, suppliers + lijsten.",Data laadt; links naar referrals indien `CanRecruitSalesManagers`.
Salesmanager,Home load-fout / lege suppliers.,"Graceful empty-state: Het dashboard vangt de fout op, toont een nette melding binnen de component en voorkomt dat de rest van de pagina crasht."
Salesmanager,`/salesmanager` alias.,Redirect `/home`.
Salesmanager,"How-to: links onboarding, toolkit, partner-URL of toolkit-fallback, home, invoices + CTA’s.",Partnerlink = `/partner/{code}` als code bekend.
Salesmanager,Onboarding: lege submit.,"Formulierblokkade: Verplichte velden (zoals bedrijfsnaam of contactgegevens) die leeg blijven, worden tegengehouden door client- en servervalidatie."
Salesmanager,Onboarding: **Gegevens opslaan** geldig (IBAN optioneel).,Profiel opgeslagen; IBAN later nodig voor payout.
Salesmanager,Onboarding: **Ondertekenen & trackingcode** vóór opslaan.,"Formulierblokkade: Verplichte velden (zoals bedrijfsnaam of contactgegevens) die leeg blijven, worden tegengehouden door client- en servervalidatie."
Salesmanager,Ondertekenen na opslaan.,Trackingcode `SM-…`; naar dashboard-state.
Salesmanager,Onboarding al compleet.,Toont code + naar dashboard.
Salesmanager,Onboarding API-fout save/sign.,Melding.
Salesmanager,Toolkit vóór onboarding.,Gate **Start onboarding**.
Salesmanager,"Toolkit: tracking + partner-URL, **Download PDF-flyer**, WhatsApp, Mail, **Open partnerpagina**, tarieven read-only.",Download/share/open werken; fouten netjes.
Salesmanager,Toolkit flyer download fail.,Melding.
Salesmanager,Referrals als **tier-1** (`!CanRecruit`).,Validatie-weigering: Het systeem blokkeert de dubbele toewijzing en meldt dat de vestiging al onder een bestaand commercieel traject valt.
Salesmanager,Referrals **tier-0**: form naam/e-mail/motivatie < 10 tekens.,"Formulierblokkade: Verplichte velden (zoals bedrijfsnaam of contactgegevens) die leeg blijven, worden tegengehouden door client- en servervalidatie."
Salesmanager,Tier-0: **Indienen ter goedkeuring** geldig.,Pending in lijst.
Salesmanager,Referrals: lege lijst / API-fout.,"Graceful empty-state: Het dashboard vangt de fout op, toont een nette melding binnen de component en voorkomt dat de rest van de pagina crasht."
Salesmanager,Na admin-reject: rejection reason zichtbaar.,Reden in lijst; geen automatische account.
Salesmanager,Na admin-approve.,"Nieuwe SM (Dev mag temp password tonen bij admin, niet per se hier)."
Salesmanager,Facturen: lijst + **Download PDF** per factuur.,PDF; fail → melding.
Salesmanager,Facturen: **Uitbetalen** met IBAN + saldo.,Dialog bedrag excl. BTW; **Alles**; **Bevestigen via Mollie**.
Salesmanager,Payout: `!CanPayout` (geen IBAN / €0).,"Formulierblokkade: Verplichte velden (zoals bedrijfsnaam of contactgegevens) die leeg blijven, worden tegengehouden door client- en servervalidatie."
Salesmanager,Payout: ongeldig bedrag > saldo / 0 / negatief.,"Formulierblokkade: Verplichte velden (zoals bedrijfsnaam of contactgegevens) die leeg blijven, worden tegengehouden door client- en servervalidatie."
Salesmanager,Payout: Mollie fail/cancel.,Geen ledger-afboeking; terug invoices.
Salesmanager,Payout success `?paid=`.,Success-melding; saldo omlaag; factuur Issued/Paid-flow.
Salesmanager,Payout-checkout stub `/salesmanager/payout-checkout` zonder paymentId.,Fout/terug; knoppen Uitbetalen stub / Cancel → invoices.
Salesmanager,Payout-checkout met paymentId (Dev stub).,Complete of fout; AllowStubPayments buiten Dev uit.
Salesmanager,UI toont full IBAN.,Nooit; alleen masked.
Salesmanager,"Open `/employer/vacancies`, `/admin/finance`, `/ambassadeur/finance`, `/candidate/profile`.",Toegangsblokkade (403 / Access Denied): Systeem weigert de toegang onmiddellijk en stuurt de gebruiker terug naar de algemene homepagina of een beveiligde foutpagina.
Salesmanager,Open `/partner/{eigen-code}` ingelogd.,Publieke lander; register-CTA met ref.
Salesmanager,Ondernemer registreert met SM-ref en koopt tokens.,CommissionLedger ~15% + upline 3% binnen 1 jaar FirstYearStartedAt; idempotent webhook.
Salesmanager,Tokenaankoop referred ondernemer ná commissie-duur.,Foutafhandeling: Het systeem koppelt de registratie niet aan de salesmanager en toont een subtiele melding of laat de code simpelweg buiten beschouwing zonder de registratie te blokkeren.
Salesmanager,Consent-reaccept.,Blocking.
Salesmanager,AVG-export.,Bevat eigen payouts/ledger/invoices; geen full IBAN.
Ambassadeur,Login incompleet onboarding → `/home`.,Gate + Start onboarding.
Ambassadeur,Elke bottom-nav + How-to.,Toolkit/finance/onboarding/home; geen tokenchip.
Ambassadeur,`/ambassadeur` alias.,`/home`.
Ambassadeur,"Home na onboarding: KPI kandidaten, sollicitaties, tracking **Kopieer link**, commissiemeter, saldo’s, **Naar financieel**, recente lijsten.",Copy schrijft AM-link; clipboard-fail silent/melding.
Ambassadeur,Home load-fout / lege lijsten.,Error/empty.
Ambassadeur,"How-to: onboarding, toolkit, `/werven/{code}` of toolkit-fallback, home, finance + CTA’s.",Deep links kloppen.
Ambassadeur,"Onboarding save/sign/validatie/fouten (zelfde patroon als SM, code `AM-…`).",Na sign commissieband + dashboard/toolkit-links.
Ambassadeur,Toolkit vóór onboarding.,Gate.
Ambassadeur,"Toolkit: **Download kandidaten-flyer**, **Kopieer trackinglink**, **Download ondernemers-flyer**, **Open registratie met code** (`/register?ref=AM-…`).",Downloads/copy/register-ref werken; fouten netjes.
Ambassadeur,Ondernemersflyer QR.,QR wijst naar register/partner-stroom met AM-code / start-highlight volgens spec.
Ambassadeur,Finance: ledger + invoices read-only + **Bedrag laten uitkeren**.,Modal; `?paid=` success.
Ambassadeur,Payout zonder IBAN / 0 beschikbaar.,BlockReason; Doorgaan disabled.
Ambassadeur,Payout geldig → checkout stub `/ambassadeur/payout-checkout`.,Complete/Cancel → finance; geen full IBAN.
Ambassadeur,Payout stub zonder paymentId / fail.,Fout + terug.
Ambassadeur,Kandidaat via `/werven/{code}` registreert/solliciteert.,KPI kandidaten/sollicitaties omhoog; cookie ref.
Ambassadeur,Referred ondernemer koopt tokens.,Ambassadeurcommissie tokens ~15% binnen window; drempel 50 / +1% / admin-max.
Ambassadeur,Open `/partner/AM-code`.,AM-code **niet** als partner-SM; generieke partner of ignore — werven-pad is leidend.
Ambassadeur,"Open `/salesmanager/*`, `/admin/*`, `/employer/tokens`.",403.
Ambassadeur,Consent-reaccept + AVG export (payouts/ledger).,Blocking consent; masked IBAN in export/UI.
Admin,Login → `/home` AdminHomePanel.,"Platform-KPI’s, periode-tabs, Top/Flop, drilldowns."
Admin,`/admin` en `/admin/cockpit`.,Redirect `/home`.
Admin,"Elke bottom-nav: Home, `/`, `/admin/vacancies`, `/admin/finance`, `/admin/companies`, `/admin/settings`.",Juiste pagina; Settings extra paths actief houden Settings-tab.
Admin,PageShell **← Beheer** op een admin-pagina.,`/home`.
Admin,"Home: elke metric-tegel + drilldown + overview-links (logging, companies, API keys, users, tokenlog, vacancies).",DrilldownGrid; overview landt op module.
Admin,Home Top/Flop vacatureklik + load-fout + lege drilldown.,"Nette 404 / BadRequest: Systeem retourneert een gecontroleerde foutmelding als de opgevraagde entiteit niet in de database bestaat, zonder een HTTP 500 stacktrace te triggeren."
Admin,"Settings-subnav: klik **elk** item (Settings, CNAMEs, Company, About, Marketing flyer, Masterdata, Vacaturecategorieën, Exclusivity, Integraties, Mail test, API keys, Notifications, Users, Logging, Feedback, Wages).",Elke module laadt; active state.
Admin,Bedrijven: zoek + filter Employer/Intermediary.,Client filter.
Admin,Bedrijven: links users / vacancies / tokenlog / sales-managers.,Query-prefill op doelpagina.
Admin,Bedrijven: **+ Tokens** GrantTokensDialog: amount 0 / leeg note / 0.4 / 1001.,Server-side validatie: API vangt de onjuiste velden (zoals malafide e-mailadressen of ongeldige IBAN-structuren) op en retourneert een nette validatiefout.
Admin,Grant: geldig bedrag+note **Goodwill toekennen**.,Saldo omhoog; Grant-log; dialog dicht.
Admin,Grant: Annuleren / API-fout.,"Nette 404 / BadRequest: Systeem retourneert een gecontroleerde foutmelding als de opgevraagde entiteit niet in de database bestaat, zonder een HTTP 500 stacktrace te triggeren."
Admin,Bedrijven: KVK zoeken + **Toevoegen** vrije vestiging.,Company registered.
Admin,KVK toevoegen die al in gebruik is.,Validatie-blokkade: Systeem weigert de goedkeuring of publicatierechten zolang het KVK-nummer of de vestigingsstatus niet formeel is geverifieerd (`IsVerified = false`).
Admin,KVK leeg stub / register fail.,Validatie-blokkade: Systeem weigert de goedkeuring of publicatierechten zolang het KVK-nummer of de vestigingsstatus niet formeel is geverifieerd (`IsVerified = false`).
Admin,"Users: zoek, rol-filter, company-type, early-adapter checkbox, `?companyId=`.",Read-only tabel; empty ‘Geen gebruikers’.
Admin,Users: klikken om rol te wijzigen in UI.,Geen inline privilege-escalatie (read-only).
Admin,"Vacancies admin: zoek, sort start/eind, metric-kolom, titel-link, dubbelklik, menu **Bekijken / Verlengen / Deactiveren** (alleen Active).",Acties; Archived zonder extend/deactiveren-menu volgens UI.
Admin,Vacancies: extend/deactivate API-fout / lege lijst.,"Nette 404 / BadRequest: Systeem retourneert een gecontroleerde foutmelding als de opgevraagde entiteit niet in de database bestaat, zonder een HTTP 500 stacktrace te triggeren."
Admin,"Finance: tabs/links KPI’s, Tokenlog, token-finance, tokens, sales, sales-managers, ambassadeurs.",Navigatie klopt.
Admin,Finance: periode-tabs + KPI-tegels drilldown.,"tokens_balance/purchased/spent, pushboms, extensions."
Admin,Finance tokenlog: zoek + Enter/zoekknop.,Gefilterd; **geen plaintext e-mail**; geen full IBAN.
Admin,Finance KPI/log errors.,"Transactie-rollback & Foutmelding: De administratieve actie wordt gestopt, de betalingsstaat wordt niet veranderd, en er verschijnt een duidelijke melding in het beheerpaneel."
Admin,`/admin/tokens` Goodwill: zoek bedrijf + Grant dialog + sublinks.,Zelfde grant-rules.
Admin,"Token-finance tabs: Aankopen, Inkoop/SM, Goodwill, BTW-buffer, BTW-aangiftes.",Tabellen per tab.
Admin,Token-finance: jaar/kwartaal filter + **Vernieuwen**.,Herlaadt.
Admin,Export CSV aankopen/goodwill.,"Transactie-rollback & Foutmelding: De administratieve actie wordt gestopt, de betalingsstaat wordt niet veranderd, en er verschijnt een duidelijke melding in het beheerpaneel."
Admin,Per-rij PDF.,PDF of fout.
Admin,"BTW-aangifte wizard: periode, preview, **Genereer** / **Annuleren**.",Aangifte; Annuleren geen write.
Admin,Wizard als periode al declared / geen open lines.,Genereer disabled.
Admin,Sales `/admin/sales`: sublinks finance/sales/sales-managers/**Partnerpagina**.,Partner publieke pagina.
Admin,"Sales: €/token, carousel/pulse, dagen, start-highlight bonus **Opslaan**.",Settings persistent.
Admin,"Sales: SM direct%, indirect%, duur dagen Opslaan.",Commissie-rules wijzigen voor nieuwe settlements.
Admin,Sales: per vacaturetype cost/active Opslaan.,Publish-kost volgt categorie/type.
Admin,Pakketten: velden + Active + Opslaan + Delete + **+ Pakket**.,CRUD; ongeldige prijs/tokens validatie.
Admin,Sales load/save errors.,Meldingen.
Admin,Sales-managers: invite tier-0 naam+e-mail **Uitnodigen**.,Account/pending; Dev temp password mogelijk.
Admin,Invite ongeldig e-mail / leeg.,Server-side validatie: API vangt de onjuiste velden (zoals malafide e-mailadressen of ongeldige IBAN-structuren) op en retourneert een nette validatiefout.
Admin,Pending referral **Goedkeuren**.,SM provisioned (tier-1).
Admin,Pending **Afwijzen**.,Reden ‘Afgewezen door admin’; SM ziet reason.
Admin,SM-lijst rij → detail suppliers read-only.,Geen PII-leak buiten scope.
Admin,Detail factuur **Markeer betaald** (Issued).,Status Paid; niet-Issued knop weg.
Admin,Lege pending / API-fout approve.,"Nette 404 / BadRequest: Systeem retourneert een gecontroleerde foutmelding als de opgevraagde entiteit niet in de database bestaat, zonder een HTTP 500 stacktrace te triggeren."
Admin,Ambassadeurs: drempel/#/%/max **Opslaan**.,50/+1%/max volgens defaults overschrijfbaar.
Admin,Ambassadeur uitnodigen.,Account; Dev temp password mogelijk.
Admin,Override % **Set** / **Clear**.,Individuele commissie; clear terug naar formule.
Admin,Ongeldige override (boven max / negatief).,Server-side validatie: API vangt de onjuiste velden (zoals malafide e-mailadressen of ongeldige IBAN-structuren) op en retourneert een nette validatiefout.
Admin,Settings: **Vernieuwen** integratie-tiles.,Ping-status kleuren.
Admin,Settings shortcuts Mail test + CNAMEs.,Nav.
Admin,"Platform features: AI-moderation, authenticator stub, expose activation links, public base URL, inactive days, session timeout, free-publish-until, **Promo uitzetten**, Opslaan.",Flags persistent; session timeout clamp 5–480.
Admin,Expose activation links **aan** buiten bewustzijn.,"Omgevingsbeveiliging: Endpoints worden afgeschermd op basis van de omgevingsvlag (Development), resulterend in een HTTP 404 of 403 voor niet-geautoriseerde contexten."
Admin,Token packs prijs/active Opslaan.,Koop-UI volgt.
Admin,Spend costs per reden Opslaan.,Publish/Highlight/PushBom/Extend kost.
Admin,PushBom radius/max travel Opslaan; tier Min/Max/Tokens/Active Opslaan; Delete; **+ Tier**.,CRUD; overlapping tiers validatie of acceptatie volgens code.
Admin,Early adapter naam/grant/discount/active Opslaan.,Early-adapter logica.
Admin,Integraties-pagina: elke tile expand.,Secret fields masked.
Admin,Tile: **i** help + docs-link.,Help; externe docs indien URL.
Admin,Tile: **Save** geldige secrets.,Encrypted via Data Protection; UI masked na save.
Admin,Tile: **Test verbinding** success/fail.,Groen/rood + LastPingMessage; geen secret in fout.
Admin,Tile: **Secrets wissen** / **Omgeving opnieuw gebruiken**.,Secrets weg / env fallback.
Admin,Mail-tile: test-to + **Stuur testmail**.,OK of SMTP-fout.
Admin,Mail-test pagina: **Send all** + per template **Send one** leeg/ongeldig/geldig To.,Resultaat OK/error per template; rate/fout netjes.
Admin,"API-keys: zoek, status All/Active/Inactive, **Deactiveren** (alleen active).",Inactive; empty ‘Geen API-keys’.
Admin,Deactiveren al inactive.,Knop weg.
Admin,"Feedback: type/status Filter, lege lijst.",Filtert; empty.
Admin,"Feedback: **Prompt** dialog — screenshot (admin-only), prompt edit, review-checkbox, **Start** zonder ack.",Start geblokkeerd.
Admin,"Prompt Start mét review, status niet Launched/Finished.",Launch; PR-link; Refresh PR; Close.
Admin,Prompt locked Launched/Finished.,Start geblokkeerd.
Admin,Feedback **Mark resolved**.,Status resolved; screenshot blijft tot retentie/forget.
Admin,"Logging: level, category, from/to, Filter, `?level=Error`.",Geen plaintext e-mails in messages; empty ‘Geen logs’.
Admin,"CNAMEs: **?** help-panel checklist DNS/Render/Entra/Mollie, sluiten / Begrepen.",Panel togglen.
Admin,CNAME: Vernieuwen; form hostname/display/slogan/adres-autocomplete (**Wis**/suggesties)/background/Active **Save** / **Cancel**.,Host opgeslagen; Cancel reset.
Admin,CNAME list **Edit** / **Delete**.,"Nette 404 / BadRequest: Systeem retourneert een gecontroleerde foutmelding als de opgevraagde entiteit niet in de database bestaat, zonder een HTTP 500 stacktrace te triggeren."
Admin,CNAME: lege hostname / geen suggesties.,Validatie / lege suggesties.
Admin,Company settings: velden + **gemaskeerd Knab BTW-IBAN**; Save; IBAN ongewijzigd laten vs nieuwe full IBAN.,Server-side validatie: API vangt de onjuiste velden (zoals malafide e-mailadressen of ongeldige IBAN-structuren) op en retourneert een nette validatiefout.
Admin,About: title/lead/body toolbar H2/B/I/List/Link/Section **Save** + preview + link `/wie-zijn-wij`.,HTML gesaneerd (geen script); publieke pagina updated.
Admin,"Marketing flyer: alle copy-velden, **Download PDF**, **Reset**, **Save**.",PDF; Reset herstelt defaults; Save persistent.
Admin,Masterdata: elke categorie-tab; item Value/Label/Sort/Active/ShowOnCandidate/ShowOnVacancy **Save** / **Delete** / Add.,Keuzelijsten in create/profile volgen; delete soft/blocked indien in gebruik volgens code.
Admin,Vacancy categories: name/color/publish tokens/sort/Active/Always free/Highlight(+tokens)/PushBom(+tokens of leeg=range)/map filter/legend/extra fields **Save** / **Delete** / Add.,Kaartlegenda + create-dropdown + tokenlogica volgen; naam verplicht; delete mag soft-deactivate.
Admin,Categorie slug highlight intern.,Niet als publieke filtercategorie ‘highlight’.
Admin,Exclusivity: name/domain/regex/sort/educations/Active/Open-for-all Save/Delete/Add.,Delete geblokkeerd voor open-optie; apply-gate gebruikt domain/regex.
Admin,Wages: per rate HourlyRate Save + **Halfjaarlijkse WML-update (stub)**.,Tarieven updated; stub-actie bevestigt/no-op volgens implementatie.
Admin,`/admin/moderation` en `/admin/notifications`.,Afkeuring & Blokkade: Admin kan de publicatie blokkeren en een verplichte tekstaanpassing of moderatie-notitie opleggen; de vacature blijft op Draft of Pending staan.
Admin,`/admin/launch`.,404 of niet in nav (spec ontbreekt in UI) — documenteer als known gap.
Admin,Banenkaart als admin + Mijn vacatures indien getoond.,Platformbreed of verborgen volgens rol-check.
Admin,Vacature lifecycle via employer-lijst `/employer/vacancies` (Authorize bevat Admin).,Afkeuring & Blokkade: Admin kan de publicatie blokkeren en een verplichte tekstaanpassing of moderatie-notitie opleggen; de vacature blijft op Draft of Pending staan.
Admin,Applicants `/branch/applicants` als Admin.,React toegestaan; PII pas na Accept; audit/scope niet lekken over alle kandidaten onnodig.
Admin,Open `/tokens/checkout-return` als Admin.,"Transactie-rollback & Foutmelding: De administratieve actie wordt gestopt, de betalingsstaat wordt niet veranderd, en er verschijnt een duidelijke melding in het beheerpaneel."
Admin,Create vacancy `/branch/vacancies/new` als Admin.,Directe 403 / Access Denied: Systeem weigert de toegang volledig en stuurt de gebruiker door naar de homepagina of een beveiligde foutpagina; geen enkele administratieve data lekt uit.
Admin,Organization hub `/employer/organization`.,Directe 403 / Access Denied: Systeem weigert de toegang volledig en stuurt de gebruiker door naar de homepagina of een beveiligde foutpagina; geen enkele administratieve data lekt uit.
Admin,Intermediary team / salesmanager invoices / ambassadeur finance.,Directe 403 / Access Denied: Systeem weigert de toegang volledig en stuurt de gebruiker door naar de homepagina of een beveiligde foutpagina; geen enkele administratieve data lekt uit.
Admin,Demo-header-auth zonder DevelopmentAuthSecret buiten Dev.,"Omgevingsbeveiliging: Endpoints worden afgeschermd op basis van de omgevingsvlag (Development), resulterend in een HTTP 404 of 403 voor niet-geautoriseerde contexten."
Admin,PlatformLogs zoeken op een bekend e-mailadres in plaintext.,Geen treffers; alleen geredigeerd.
Admin,Grant tokens note met PII.,Opgeslagen in ledger; vermijd e-mail in note (procesregel).
Admin,Consent-reaccept.,Blocking voor admin-account bij version bump.
Admin,AVG-export eigen admin-user.,Minimale PII; geen hele platformdump via `/privacy/data`.
Admin,How-to `/hoe-werkt-lobsy` / `/candidate/hoe-werkt-lobsy`.,How-to employer Authorize zonder Admin → 403 of candidate-how-to als Admin in candidate-attribute (candidate how-to **inclusief Admin**) — candidate-guide of redirect; employer-how-to zonder Admin = 403.
Admin,Feedback widget + assistent op admin-pagina.,Werkt; feedback meta rol Admin.
Admin,Session timeout setting op 5 min: idle.,Herlogin session-expired.
Admin,Integratie-secret in repo/appsettings committen (review).,"Omgevingsbeveiliging: Endpoints worden afgeschermd op basis van de omgevingsvlag (Development), resulterend in een HTTP 404 of 403 voor niet-geautoriseerde contexten."
Kandidaat,"Open `/admin/settings`, `/admin/users`, `/admin/logging`, `/admin/token-finance`, `/employer/users`, `/employer/organization`, `/branch/applicants`, `/salesmanager/toolkit`, `/ambassadeur/toolkit`.",Geen toegang.
Filiaalmanager,"Open `/admin/companies`, `/employer/users`, `/employer/regions`, `/intermediary/team`, `/salesmanager/invoices`, `/ambassadeur/finance`, `/regional/tokens` allocate POST.",Toegangsblokkade (403 / Access Denied): Systeem weigert direct de toegang of stuurt de gebruiker door naar de eigen rol-omgeving; geen inzage in vreemde vestigingsdata.
Regiomanager,"Open `/branch/vacancies/new`, `/employer/users`, `/admin/wages`, `/employer/csv-import`, applicants **Accept**-API, tokens **kopen**-API.",Toegangsblokkade (403 / Access Denied): Systeem weigert direct de toegang of stuurt de gebruiker terug naar de algemene homepagina; geen inzage in bedrijfsbrede of ongeautoriseerde vestigingsdata.
Bedrijfsmanager,"Open `/admin/sales`, `/admin/api-keys`, `/intermediary` (clients dashboard), `/salesmanager/referrals`.",Toegangsblokkade (403 / Access Denied): Systeem weigert direct de toegang of stuurt de gebruiker terug naar de homepagina; geen ongeautoriseerde inzage in bedrijfsbrede PII of financiële data.
Intermediair,"Open `/employer/organization`, `/admin/finance`, `/salesmanager/onboarding`, approve-publish.",Toegangsblokkade (403 / Access Denied): Systeem weigert direct de toegang en stuurt de gebruiker naar de homepagina of een beveiligde foutpagina.
Salesmanager,"Open `/employer/tokens`, `/branch/applicants`, `/admin/sales-managers`, `/candidate/liked` (authorize candidate liked mag AllowAnonymous gate — niet de data van anderen).",Toegangsblokkade (403 / Access Denied): Systeem weigert de toegang onmiddellijk en stuurt de gebruiker terug naar de algemene homepagina of een beveiligde foutpagina.
Ambassadeur,"Open `/admin/ambassadeurs`, `/salesmanager/referrals`, `/employer/vacancies`.",403.
Admin,Als user A data van user B opvragen via gewijzigde IDs (vacancy/application/export).,Alleen platform-scope waar bedoeld; privacy-export blijft **eigen** data; application-PDF zonder PiiRevealed = 403.
Gast,"IDOR: `/api/applications/{id}/cv`, `/api/privacy/export`, `/api/tokens/grant`.",401.
Filiaalmanager,IDOR: applicants/CV van andere companyId.,Toegangsblokkade (403 / Access Denied): Systeem weigert direct de toegang of stuurt de gebruiker door naar de eigen rol-omgeving; geen inzage in vreemde vestigingsdata.
Intermediair,IDOR: vacancy muteren van niet-gekoppelde opdrachtgever (`IntermediaryCompanyId`).,Claim-pad / Weigering: Systeem weigert directe overname en start een gecontroleerde claim- of contactflow op; geen ongeautoriseerde PII-inzage.
Bedrijfsmanager,IDOR: `/employer/users` van andere org.,Scope-weigering: Systeem blokkeert de actie op basis van organisatie-isolatie; managers kunnen uitsluitend sturen binnen de eigen gekoppelde bedrijfsstructuur.
Salesmanager,IDOR: factuur-PDF van andere SM.,Toegangsblokkade (403 / Access Denied): Systeem weigert de toegang onmiddellijk en stuurt de gebruiker terug naar de algemene homepagina of een beveiligde foutpagina.
Ambassadeur,IDOR: finance ledger andere AM.,403.
Kandidaat,IDOR: `/candidate/profile` via andere user-id (indien query).,Alleen eigen profiel; geen parameter-override.
Alle werkgeverrollen,Pre-accept application JSON bevat email/phone/address/full name.,Mag niet; alleen screeningvelden.
Alle rollen,Response headers CSP/HSTS/X-Content-Type-Options/X-Frame-Options/Referrer-Policy controleren op `/` en `/login`.,Headers aanwezig (HSTS buiten Dev).
Alle rollen,Iframe-embed van `/login` of `/`.,X-Frame-Options DENY / CSP frame-ancestors blokkeert clickjacking.
Filiaalmanager / Bedrijfsmanager / Intermediair,"TokenTopUpDialog: kies exact-match pack vs bulkapakket, start Mollie, voltooi.",Tokens bij + oorspronkelijke actie (publish/highlight/PushBom/extend) automatisch.
Filiaalmanager / Bedrijfsmanager / Intermediair,TokenTopUpDialog sluiten zonder betalen.,Geen spend; originele actie niet uitgevoerd (draft blijft draft).
Filiaalmanager / Bedrijfsmanager / Intermediair,PushBomConfirmDialog: Annuleren na preview.,Geen send/spend.
Filiaalmanager / Bedrijfsmanager / Intermediair,PushBom terwijl 0 OpenForWork in radius.,Disabled/melding.
Filiaalmanager / Bedrijfsmanager / Intermediair,Categorie Always-free / gratis-tot-datum.,Publish zonder debit of 0-kost; daarna wél tokens.
Kandidaat,ShareModal elk van de 8 kanalen + sluiten + kopieer twee keer.,Geen dubbele crash; tweede copy OK.
Gast / Kandidaat,DirectContactModal vóór sollicitatie.,Niet getoond.
Kandidaat,DirectContactModal ná sollicitatie zonder kanalen werkgever.,Niet getoond of leeg sluiten.
Non-kandidaat,ConsentReaccept: links Privacy / Voorwaarden / Gebruik in de dialog.,Pagina’s open; dialog blijft verplicht tot Akkoord.
Non-kandidaat,POST accept-consent met vervalste lagere ConsentVersion in body.,Server zet `PrivacyConstants.CurrentConsentVersion`; bump niet te omzeilen.
Kandidaat,Apply zonder OTP maar met verdachte client `EmailVerified=true`.,Server negeert; sollicitatie niet verified tot echte code.
